GST Dataset Labeling Report
==================================================

[OK] jay_bajrang.jpg  |  226 words  |  1 labeled  |  fields: UPI_ID,INV_DATE,BANK,IGST,TOTAL_GST  |  0.8s
[OK] original_invoice.png  |  205 words  |  8 labeled  |  fields: GSTIN_S,INV_NO,INV_DATE,DISPATCH_DATE,BANK,PAYMENT_TERMS  |  0.9s
[OK] oub_GST_Invoice_Format.png  |  218 words  |  6 labeled  |  fields: SUPPLIER,CGST_RATE,SGST_RATE,GST_RATE,UOM  |  0.8s

Total: 50 images
  Success: 50
  Failed:  0

Next step: Review labels in dataset/labels/*.txt
Then run:  python finetune_layoutlm.py
